text,clean_text,label,mentions_dem,mentions_rep
"👇👇👇This! Yup!👇👇👇       
   

https://t.co/hh0mEYqSLt",   this  yup                 ,Democrat,"['Biden', 'Harris']","['Trump', 'Trump']"
"The way 2020 is going, I'm currently awaiting the moment Rita Repulsa pops up &amp; supersizes Trump for his last ditch attempt to claim the swing states.. 👀💀😫😂 -     https://t.co/nqpGL7Jc7V","the way 2020 is going, i m currently awaiting the moment rita repulsa pops up and; supersizes trump for his last ditch attempt to claim the swing states..      -     ",Democrat,[],"['Trump', 'Trump', 'Trump']"
"Trump vs Biden: Who's the Celebrity Choice for President?! (Face-Off hos... 
      
https://t.co/HwTaziy2uH via @YouTube",trump vs biden: who s the celebrity choice for president    face-off hos...          via  youtube,Democrat,"['Biden', 'Biden', 'Biden', 'Harris']","['Trump', 'trump', 'trump']"
"NO MATTER WHAT HAPPENS
THE FIGHT CONTINUES...✊🏾✊🏾✊🏾
   https://t.co/pkXgB1Lrq3",no matter what happens the fight continues...          ,Democrat,[],[]
"I have an important question. Then I discovered someone else did too: Rodney King. 

Latest podcast. And satire. Lots of satire. The offendey kind.

      

https://t.co/CHeU1dMs3S",i have an important question. then i discovered someone else did too: rodney king.   latest podcast. and satire. lots of satire. the offendey kind.          ,Democrat,[],[]
I would've voted for you @realDonaldTrump if I received a stimulus check and if I didn't have to wear face masks.    https://t.co/AllMCApz7G,i would ve voted for you  realdonaldtrump if i received a stimulus check and if i didn t have to wear face masks.    ,Democrat,"['Biden', 'Harris']","['Trump', 'Donald']"
"Three more days until the election! For those of you who can, get out and vote! This is the most scared part of our democracy and it is something that we must practice. I personally can't wait to vote until 2024     ","three more days until the election  for those of you who can, get out and vote  this is the most scared part of our democracy and it is something that we must practice. i personally can t wait to vote until 2024     ",Democrat,"['Biden', 'Harris']",['Trump']
"Required reading for Election Day, folks! 
When the Narcissist Fails | Psychology Today https://t.co/ocCyineCOn 
  ","required reading for election day, folks   when the narcissist fails   psychology today     ",Democrat,"['Biden', 'Harris']",['Trump']
"What about Hunter Biden's Laptop?   

https://t.co/ykCFWzD5Es",what about hunter biden s laptop      ,Democrat,"['Biden', 'Biden']",[]
"  @TheDemocrats @SenateDems @TheDemCoalition, Did @realDonaldTrump deserve a fair election?","   thedemocrats  senatedems  thedemcoalition, did  realdonaldtrump deserve a fair election ",Democrat,"['Democrats', 'Democrat']","['Trump', 'Donald']"
     @rockthevote          https://t.co/DBuswszOwN,      rockthevote          ,Democrat,"['joe', 'biden', 'kamala', 'harris', 'democrats', 'democrat']",[]
"Serious problems in Florida as Latino and Black turnout will be low in Southern Florida on election day as being reported on MSNBC.

 we need to figure out how to reach them. 

Retweet",serious problems in florida as latino and black turnout will be low in southern florida on election day as being reported on msnbc.   we need to figure out how to reach them.   retweet,Democrat,[],[]
'Living Statues' Mock The President In Front Of Lincoln Memorial And Trump Hotel | DCist https://t.co/xculCLngBM , living statues  mock the president in front of lincoln memorial and trump hotel   dcist  ,Democrat,[],['Trump']
" 
 https://t.co/7FOvTQM8Nm",   ,Democrat,"['Biden', 'Harris']",['Trump']
Florida let me down again but my Leon County was a beautiful blue and rejected the idea of 4 more years of hatred and division under Trump!     🌈,florida let me down again but my leon county was a beautiful blue and rejected the idea of 4 more years of hatred and division under trump       ,Democrat,"['Biden', 'Harris', 'democrat']",['Trump']
"How to watch election night 2020: The definitive hour-by-hour guide : https://t.co/NpYAkSaLNU via @AOL 
😷🌊            🏳️‍🌈     ",how to watch election night 2020: the definitive hour-by-hour guide :  via  aol                         ,Democrat,"['Biden', 'Harris']",[]
"She wasn’t wrong. When speaking of him and his cult-like followers. 💯 spot the fuck on 
 Fuck 

'deplorable': 'causing or being a subject for grief or regret; lamentable: the deplorable death of a friend.'. Learn more at: https://t.co/eRsIlMPqov",she wasn t wrong. when speaking of him and his cult-like followers.   spot the fuck on   fuck    deplorable :  causing or being a subject for grief or regret; lamentable: the deplorable death of a friend. . learn more at: ,Democrat,"['Biden', 'Harris']","['Trump', 'Trump']"
"The Tiny Pricks project creates a material record of Trump’s comments, using embroidery to bear witness to a constant stream of divisive &amp; inflammatory messages &amp; as an act of catharsis 🧵More ➡️ https://t.co/zGFw7Jg4my     https://t.co/Ow7SfI8Vmh","the tiny pricks project creates a material record of trump s comments, using embroidery to bear witness to a constant stream of divisive and; inflammatory messages and; as an act of catharsis  more         ",Democrat,[],['Trump']
"President Trump, you are a  piece of shit. @realDonaldTrump ","president trump, you are a  piece of shit.  realdonaldtrump ",Democrat,[],"['Trump', 'Trump', 'Trump', 'Donald']"
Request your absentee ballot for the jan 5 runoff election for GA senator!!!! Kick David Purdue the fuck out of office!  https://t.co/WGiwUuVNco,request your absentee ballot for the jan 5 runoff election for ga senator     kick david purdue the fuck out of office   ,Democrat,[],[]
" EXIT 
 


 
 
 
 💪 https://t.co/I3ZRAKBy0E", exit               ,Democrat,['Biden'],"['Trump', 'Trump']"
 = Biden laptop matters,   biden laptop matters,Democrat,['Biden'],[]
"The head of the American Medical Association also denounced the president's baseless attacks on the motivations of health care workers. 

Today's OD Action daily email is out! 
https://t.co/TYCCAvYSrP",the head of the american medical association also denounced the president s baseless attacks on the motivations of health care workers.   today s od action daily email is out   ,Democrat,[],[]
I’ve played Fuck Donald Trump 45 times today ,i ve played fuck donald trump 45 times today ,Democrat,[],"['Trump', 'Trump', 'Donald']"
"i'm just going to be happy with however this thing goes. If trump wins i would have more snl content to laugh at. if biden wins, equality for everybody
 
","i m just going to be happy with however this thing goes. if trump wins i would have more snl content to laugh at. if biden wins, equality for everybody   ",Democrat,['biden'],['trump']
GOP pollster Frank Luntz: Trump-Biden race comes down to 3 states and Biden only need 1 to win. https://t.co/1fOuae7GnA ,gop pollster frank luntz: trump-biden race comes down to 3 states and biden only need 1 to win.  ,Democrat,"['Biden', 'Biden']","['Trump', 'GOP']"
Joe Biden gets 100% of the vote in Dixville Notch - Palmer Report       https://t.co/FFTF81rWBB,joe biden gets 100  of the vote in dixville notch - palmer report       ,Democrat,"['Joe', 'Biden', 'Biden', 'Harris']",['Trump']
"BREAKING: TRUMP ATTACKS FBI FOR DOING ITS JOB! Despite  CIsneros admission of raming Biden Supporter car Trump Tweets,’these patriots did nothing wrong.”  Instead he blames ‘disgraceful’ FBI for not going after Liberal Cities. Pins&amp;needles We wait.  https://t.co/oC4MY8cWXF","breaking: trump attacks fbi for doing its job  despite  cisneros admission of raming biden supporter car trump tweets, these patriots did nothing wrong.   instead he blames  disgraceful  fbi for not going after liberal cities. pinsand;needles we wait.  ",Democrat,['Biden'],"['TRUMP', 'Trump']"
Georgia ballot officials are aware of the thin margins and from what it sounds like.. are setting up several different safeguards to protect the integrity of the vote.  ,georgia ballot officials are aware of the thin margins and from what it sounds like.. are setting up several different safeguards to protect the integrity of the vote.  ,Democrat,[],[]
Trump talks about a fraud on our nation? Not counting everyone’s votes is a fraud on our nation. Oh God I hope he gets dumped.   ,trump talks about a fraud on our nation  not counting everyone s votes is a fraud on our nation. oh god i hope he gets dumped.   ,Democrat,"['Biden', 'Harris']","['Trump', 'Trump', 'Trump']"
" 
 

 
@realDonaldTrump 

https://t.co/s4UOt5df3x",        realdonaldtrump   ,Democrat,"['Biden', 'Biden', 'Harris']","['Trump', 'Trump', 'Donald']"
"Just a few pics from an impromptu counter protest to the “Trump Train” that went through Pflugerville today! 

 
 @ The Pfield https://t.co/1KT3XDwHIj",just a few pics from an impromptu counter protest to the  trump train  that went through pflugerville today         the pfield ,Democrat,[],"['Trump', 'trump']"
"This election is proof that you can never break the internet...I know I've done my part. I'm streaming, tweeting, laptop-PCing and then some.   ","this election is proof that you can never break the internet...i know i ve done my part. i m streaming, tweeting, laptop-pcing and then some.   ",Democrat,"['Joe', 'Biden', 'Kamala', 'Harris']",['Trump']
Refuse Fascism Chicago comes to “Occupy Kenosha” to bring  the night before the  !    https://t.co/cLFA40C8fF,refuse fascism chicago comes to  occupy kenosha  to bring  the night before the       ,Democrat,[],['Trump']
"Yall it's not a matter of whether  's going to blow him away, the question is what do we do WHEN he does? To preserve what America is, we embrace each other in open arms and acknowledge the pain of the other side. We don't drink anybody's tears.  ","yall it s not a matter of whether   s going to blow him away, the question is what do we do when he does  to preserve what america is, we embrace each other in open arms and acknowledge the pain of the other side. we don t drink anybody s tears.  ",Democrat,['Biden'],[]
"Mitch McConnell is now a Were-Blackman. At the full moon he changes and maybe he’ll see the effects of his evil hypocrisy and Injustice. Maybe Scrooge will learn his lesson. Watch your back Mitch, Jared Kushner hides in the shadows. 🔪   https://t.co/xScAoj9Ze2","mitch mcconnell is now a were-blackman. at the full moon he changes and maybe he ll see the effects of his evil hypocrisy and injustice. maybe scrooge will learn his lesson. watch your back mitch, jared kushner hides in the shadows.     ",Democrat,[],[]
 congrats  Joe Biden and  https://t.co/7TlOBQXIz9, congrats  joe biden and  ,Democrat,"['Joe', 'Biden', 'Kamala', 'Harris']",[]
"Never take anyone or anything
for granted

If you need to say/do something today
don't wait until tomorrow, just do it

Tomorrow might never come




        https://t.co/n5dk9JMooW","never take anyone or anything for granted  if you need to say/do something today don t wait until tomorrow, just do it  tomorrow might never come             ",Democrat,['Biden'],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump']"
     https://t.co/LeahHuViVS,     ,Democrat,['Biden'],['Trump']
"Eric Trump and Donald Trump Jr. spread false information in run up to election https://t.co/JmCFH9BoLP 

@DonaldJTrumpJr @EricTrump daddy keeps promising you and the rest of his followers..that you’ll get something for being loyal.  It’s called a prison sentence.  ",eric trump and donald trump jr. spread false information in run up to election     donaldjtrumpjr  erictrump daddy keeps promising you and the rest of his followers..that you ll get something for being loyal.  it s called a prison sentence.  ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Donald', 'Donald']"
" wins
 please speak in unified message, I want to learn your side, from you. We can solve issues together"," wins  please speak in unified message, i want to learn your side, from you. we can solve issues together",Democrat,[],['Trump']
⁦@TuckerCarlson⁩ is this “missing” documents you have been looking for! ⁦@RudyGiuliani⁩ ⁦@POTUS⁩ ⁦@DonaldJTrumpJr⁩ You are all a bunch of morons!!!!       https://t.co/oUh8j5ESDi,  tuckercarlson  is this  missing  documents you have been looking for    rudygiuliani    potus    donaldjtrumpjr  you are all a bunch of morons           ,Democrat,"['Biden', 'Harris']","['Trump', 'Trump', 'Donald']"
"If Biden “wins,” do NOT listen to their bullshit about unity and “coming together,” not after their four year coup, not after they spent four years calling you vile names, including Biden himself. No. Reverse engineer their tactics and resist. ","if biden  wins,  do not listen to their bullshit about unity and  coming together,  not after their four year coup, not after they spent four years calling you vile names, including biden himself. no. reverse engineer their tactics and resist. ",Democrat,"['Biden', 'Biden']",[]
